index,mnist_index,mnist_label,clean_path,gaussian_blur_path,salt_pepper_path,speckle_path
20,2608,4,D:\bennett\computer vision\lab2\data\clean\020.png,D:\bennett\computer vision\lab2\data\gaussian_blur\020.png,D:\bennett\computer vision\lab2\data\salt_pepper\020.png,D:\bennett\computer vision\lab2\data\speckle\020.png
21,2682,8,D:\bennett\computer vision\lab2\data\clean\021.png,D:\bennett\computer vision\lab2\data\gaussian_blur\021.png,D:\bennett\computer vision\lab2\data\salt_pepper\021.png,D:\bennett\computer vision\lab2\data\speckle\021.png
22,2687,8,D:\bennett\computer vision\lab2\data\clean\022.png,D:\bennett\computer vision\lab2\data\gaussian_blur\022.png,D:\bennett\computer vision\lab2\data\salt_pepper\022.png,D:\bennett\computer vision\lab2\data\speckle\022.png
23,3477,4,D:\bennett\computer vision\lab2\data\clean\023.png,D:\bennett\computer vision\lab2\data\gaussian_blur\023.png,D:\bennett\computer vision\lab2\data\salt_pepper\023.png,D:\bennett\computer vision\lab2\data\speckle\023.png
24,3799,2,D:\bennett\computer vision\lab2\data\clean\024.png,D:\bennett\computer vision\lab2\data\gaussian_blur\024.png,D:\bennett\computer vision\lab2\data\salt_pepper\024.png,D:\bennett\computer vision\lab2\data\speckle\024.png
25,3883,8,D:\bennett\computer vision\lab2\data\clean\025.png,D:\bennett\computer vision\lab2\data\gaussian_blur\025.png,D:\bennett\computer vision\lab2\data\salt_pepper\025.png,D:\bennett\computer vision\lab2\data\speckle\025.png
26,4044,0,D:\bennett\computer vision\lab2\data\clean\026.png,D:\bennett\computer vision\lab2\data\gaussian_blur\026.png,D:\bennett\computer vision\lab2\data\salt_pepper\026.png,D:\bennett\computer vision\lab2\data\speckle\026.png
27,4050,9,D:\bennett\computer vision\lab2\data\clean\027.png,D:\bennett\computer vision\lab2\data\gaussian_blur\027.png,D:\bennett\computer vision\lab2\data\salt_pepper\027.png,D:\bennett\computer vision\lab2\data\speckle\027.png
28,4547,9,D:\bennett\computer vision\lab2\data\clean\028.png,D:\bennett\computer vision\lab2\data\gaussian_blur\028.png,D:\bennett\computer vision\lab2\data\salt_pepper\028.png,D:\bennett\computer vision\lab2\data\speckle\028.png
29,4722,2,D:\bennett\computer vision\lab2\data\clean\029.png,D:\bennett\computer vision\lab2\data\gaussian_blur\029.png,D:\bennett\computer vision\lab2\data\salt_pepper\029.png,D:\bennett\computer vision\lab2\data\speckle\029.png
30,4732,6,D:\bennett\computer vision\lab2\data\clean\030.png,D:\bennett\computer vision\lab2\data\gaussian_blur\030.png,D:\bennett\computer vision\lab2\data\salt_pepper\030.png,D:\bennett\computer vision\lab2\data\speckle\030.png
31,4847,5,D:\bennett\computer vision\lab2\data\clean\031.png,D:\bennett\computer vision\lab2\data\gaussian_blur\031.png,D:\bennett\computer vision\lab2\data\salt_pepper\031.png,D:\bennett\computer vision\lab2\data\speckle\031.png
32,4945,7,D:\bennett\computer vision\lab2\data\clean\032.png,D:\bennett\computer vision\lab2\data\gaussian_blur\032.png,D:\bennett\computer vision\lab2\data\salt_pepper\032.png,D:\bennett\computer vision\lab2\data\speckle\032.png
33,5045,9,D:\bennett\computer vision\lab2\data\clean\033.png,D:\bennett\computer vision\lab2\data\gaussian_blur\033.png,D:\bennett\computer vision\lab2\data\salt_pepper\033.png,D:\bennett\computer vision\lab2\data\speckle\033.png
34,5057,7,D:\bennett\computer vision\lab2\data\clean\034.png,D:\bennett\computer vision\lab2\data\gaussian_blur\034.png,D:\bennett\computer vision\lab2\data\salt_pepper\034.png,D:\bennett\computer vision\lab2\data\speckle\034.png
35,5114,1,D:\bennett\computer vision\lab2\data\clean\035.png,D:\bennett\computer vision\lab2\data\gaussian_blur\035.png,D:\bennett\computer vision\lab2\data\salt_pepper\035.png,D:\bennett\computer vision\lab2\data\speckle\035.png
36,5232,2,D:\bennett\computer vision\lab2\data\clean\036.png,D:\bennett\computer vision\lab2\data\gaussian_blur\036.png,D:\bennett\computer vision\lab2\data\salt_pepper\036.png,D:\bennett\computer vision\lab2\data\speckle\036.png
37,5310,6,D:\bennett\computer vision\lab2\data\clean\037.png,D:\bennett\computer vision\lab2\data\gaussian_blur\037.png,D:\bennett\computer vision\lab2\data\salt_pepper\037.png,D:\bennett\computer vision\lab2\data\speckle\037.png
38,5373,0,D:\bennett\computer vision\lab2\data\clean\038.png,D:\bennett\computer vision\lab2\data\gaussian_blur\038.png,D:\bennett\computer vision\lab2\data\salt_pepper\038.png,D:\bennett\computer vision\lab2\data\speckle\038.png
39,5400,2,D:\bennett\computer vision\lab2\data\clean\039.png,D:\bennett\computer vision\lab2\data\gaussian_blur\039.png,D:\bennett\computer vision\lab2\data\salt_pepper\039.png,D:\bennett\computer vision\lab2\data\speckle\039.png
40,5442,3,D:\bennett\computer vision\lab2\data\clean\040.png,D:\bennett\computer vision\lab2\data\gaussian_blur\040.png,D:\bennett\computer vision\lab2\data\salt_pepper\040.png,D:\bennett\computer vision\lab2\data\speckle\040.png
41,5485,6,D:\bennett\computer vision\lab2\data\clean\041.png,D:\bennett\computer vision\lab2\data\gaussian_blur\041.png,D:\bennett\computer vision\lab2\data\salt_pepper\041.png,D:\bennett\computer vision\lab2\data\speckle\041.png
42,5604,0,D:\bennett\computer vision\lab2\data\clean\042.png,D:\bennett\computer vision\lab2\data\gaussian_blur\042.png,D:\bennett\computer vision\lab2\data\salt_pepper\042.png,D:\bennett\computer vision\lab2\data\speckle\042.png
43,5656,2,D:\bennett\computer vision\lab2\data\clean\043.png,D:\bennett\computer vision\lab2\data\gaussian_blur\043.png,D:\bennett\computer vision\lab2\data\salt_pepper\043.png,D:\bennett\computer vision\lab2\data\speckle\043.png
44,5657,7,D:\bennett\computer vision\lab2\data\clean\044.png,D:\bennett\computer vision\lab2\data\gaussian_blur\044.png,D:\bennett\computer vision\lab2\data\salt_pepper\044.png,D:\bennett\computer vision\lab2\data\speckle\044.png
45,5756,1,D:\bennett\computer vision\lab2\data\clean\045.png,D:\bennett\computer vision\lab2\data\gaussian_blur\045.png,D:\bennett\computer vision\lab2\data\salt_pepper\045.png,D:\bennett\computer vision\lab2\data\speckle\045.png
46,5793,3,D:\bennett\computer vision\lab2\data\clean\046.png,D:\bennett\computer vision\lab2\data\gaussian_blur\046.png,D:\bennett\computer vision\lab2\data\salt_pepper\046.png,D:\bennett\computer vision\lab2\data\speckle\046.png
47,6179,0,D:\bennett\computer vision\lab2\data\clean\047.png,D:\bennett\computer vision\lab2\data\gaussian_blur\047.png,D:\bennett\computer vision\lab2\data\salt_pepper\047.png,D:\bennett\computer vision\lab2\data\speckle\047.png
48,6333,7,D:\bennett\computer vision\lab2\data\clean\048.png,D:\bennett\computer vision\lab2\data\gaussian_blur\048.png,D:\bennett\computer vision\lab2\data\salt_pepper\048.png,D:\bennett\computer vision\lab2\data\speckle\048.png
49,6349,2,D:\bennett\computer vision\lab2\data\clean\049.png,D:\bennett\computer vision\lab2\data\gaussian_blur\049.png,D:\bennett\computer vision\lab2\data\salt_pepper\049.png,D:\bennett\computer vision\lab2\data\speckle\049.png
50,6445,2,D:\bennett\computer vision\lab2\data\clean\050.png,D:\bennett\computer vision\lab2\data\gaussian_blur\050.png,D:\bennett\computer vision\lab2\data\salt_pepper\050.png,D:\bennett\computer vision\lab2\data\speckle\050.png
51,6493,8,D:\bennett\computer vision\lab2\data\clean\051.png,D:\bennett\computer vision\lab2\data\gaussian_blur\051.png,D:\bennett\computer vision\lab2\data\salt_pepper\051.png,D:\bennett\computer vision\lab2\data\speckle\051.png
52,6546,4,D:\bennett\computer vision\lab2\data\clean\052.png,D:\bennett\computer vision\lab2\data\gaussian_blur\052.png,D:\bennett\computer vision\lab2\data\salt_pepper\052.png,D:\bennett\computer vision\lab2\data\speckle\052.png
53,6828,6,D:\bennett\computer vision\lab2\data\clean\053.png,D:\bennett\computer vision\lab2\data\gaussian_blur\053.png,D:\bennett\computer vision\lab2\data\salt_pepper\053.png,D:\bennett\computer vision\lab2\data\speckle\053.png
54,6943,8,D:\bennett\computer vision\lab2\data\clean\054.png,D:\bennett\computer vision\lab2\data\gaussian_blur\054.png,D:\bennett\computer vision\lab2\data\salt_pepper\054.png,D:\bennett\computer vision\lab2\data\speckle\054.png
55,7044,5,D:\bennett\computer vision\lab2\data\clean\055.png,D:\bennett\computer vision\lab2\data\gaussian_blur\055.png,D:\bennett\computer vision\lab2\data\salt_pepper\055.png,D:\bennett\computer vision\lab2\data\speckle\055.png
56,7110,9,D:\bennett\computer vision\lab2\data\clean\056.png,D:\bennett\computer vision\lab2\data\gaussian_blur\056.png,D:\bennett\computer vision\lab2\data\salt_pepper\056.png,D:\bennett\computer vision\lab2\data\speckle\056.png
57,7133,5,D:\bennett\computer vision\lab2\data\clean\057.png,D:\bennett\computer vision\lab2\data\gaussian_blur\057.png,D:\bennett\computer vision\lab2\data\salt_pepper\057.png,D:\bennett\computer vision\lab2\data\speckle\057.png
58,7299,4,D:\bennett\computer vision\lab2\data\clean\058.png,D:\bennett\computer vision\lab2\data\gaussian_blur\058.png,D:\bennett\computer vision\lab2\data\salt_pepper\058.png,D:\bennett\computer vision\lab2\data\speckle\058.png
59,7351,5,D:\bennett\computer vision\lab2\data\clean\059.png,D:\bennett\computer vision\lab2\data\gaussian_blur\059.png,D:\bennett\computer vision\lab2\data\salt_pepper\059.png,D:\bennett\computer vision\lab2\data\speckle\059.png
60,7417,4,D:\bennett\computer vision\lab2\data\clean\060.png,D:\bennett\computer vision\lab2\data\gaussian_blur\060.png,D:\bennett\computer vision\lab2\data\salt_pepper\060.png,D:\bennett\computer vision\lab2\data\speckle\060.png
61,7533,1,D:\bennett\computer vision\lab2\data\clean\061.png,D:\bennett\computer vision\lab2\data\gaussian_blur\061.png,D:\bennett\computer vision\lab2\data\salt_pepper\061.png,D:\bennett\computer vision\lab2\data\speckle\061.png
62,7619,2,D:\bennett\computer vision\lab2\data\clean\062.png,D:\bennett\computer vision\lab2\data\gaussian_blur\062.png,D:\bennett\computer vision\lab2\data\salt_pepper\062.png,D:\bennett\computer vision\lab2\data\speckle\062.png
63,7625,3,D:\bennett\computer vision\lab2\data\clean\063.png,D:\bennett\computer vision\lab2\data\gaussian_blur\063.png,D:\bennett\computer vision\lab2\data\salt_pepper\063.png,D:\bennett\computer vision\lab2\data\speckle\063.png
64,7739,5,D:\bennett\computer vision\lab2\data\clean\064.png,D:\bennett\computer vision\lab2\data\gaussian_blur\064.png,D:\bennett\computer vision\lab2\data\salt_pepper\064.png,D:\bennett\computer vision\lab2\data\speckle\064.png
65,7854,4,D:\bennett\computer vision\lab2\data\clean\065.png,D:\bennett\computer vision\lab2\data\gaussian_blur\065.png,D:\bennett\computer vision\lab2\data\salt_pepper\065.png,D:\bennett\computer vision\lab2\data\speckle\065.png
66,7897,2,D:\bennett\computer vision\lab2\data\clean\066.png,D:\bennett\computer vision\lab2\data\gaussian_blur\066.png,D:\bennett\computer vision\lab2\data\salt_pepper\066.png,D:\bennett\computer vision\lab2\data\speckle\066.png
67,7925,0,D:\bennett\computer vision\lab2\data\clean\067.png,D:\bennett\computer vision\lab2\data\gaussian_blur\067.png,D:\bennett\computer vision\lab2\data\salt_pepper\067.png,D:\bennett\computer vision\lab2\data\speckle\067.png
68,8329,9,D:\bennett\computer vision\lab2\data\clean\068.png,D:\bennett\computer vision\lab2\data\gaussian_blur\068.png,D:\bennett\computer vision\lab2\data\salt_pepper\068.png,D:\bennett\computer vision\lab2\data\speckle\068.png
69,8334,2,D:\bennett\computer vision\lab2\data\clean\069.png,D:\bennett\computer vision\lab2\data\gaussian_blur\069.png,D:\bennett\computer vision\lab2\data\salt_pepper\069.png,D:\bennett\computer vision\lab2\data\speckle\069.png
70,8377,7,D:\bennett\computer vision\lab2\data\clean\070.png,D:\bennett\computer vision\lab2\data\gaussian_blur\070.png,D:\bennett\computer vision\lab2\data\salt_pepper\070.png,D:\bennett\computer vision\lab2\data\speckle\070.png
71,8387,0,D:\bennett\computer vision\lab2\data\clean\071.png,D:\bennett\computer vision\lab2\data\gaussian_blur\071.png,D:\bennett\computer vision\lab2\data\salt_pepper\071.png,D:\bennett\computer vision\lab2\data\speckle\071.png
72,8415,4,D:\bennett\computer vision\lab2\data\clean\072.png,D:\bennett\computer vision\lab2\data\gaussian_blur\072.png,D:\bennett\computer vision\lab2\data\salt_pepper\072.png,D:\bennett\computer vision\lab2\data\speckle\072.png
73,8451,1,D:\bennett\computer vision\lab2\data\clean\073.png,D:\bennett\computer vision\lab2\data\gaussian_blur\073.png,D:\bennett\computer vision\lab2\data\salt_pepper\073.png,D:\bennett\computer vision\lab2\data\speckle\073.png
74,8620,9,D:\bennett\computer vision\lab2\data\clean\074.png,D:\bennett\computer vision\lab2\data\gaussian_blur\074.png,D:\bennett\computer vision\lab2\data\salt_pepper\074.png,D:\bennett\computer vision\lab2\data\speckle\074.png
75,8636,6,D:\bennett\computer vision\lab2\data\clean\075.png,D:\bennett\computer vision\lab2\data\gaussian_blur\075.png,D:\bennett\computer vision\lab2\data\salt_pepper\075.png,D:\bennett\computer vision\lab2\data\speckle\075.png
76,8886,2,D:\bennett\computer vision\lab2\data\clean\076.png,D:\bennett\computer vision\lab2\data\gaussian_blur\076.png,D:\bennett\computer vision\lab2\data\salt_pepper\076.png,D:\bennett\computer vision\lab2\data\speckle\076.png
77,9055,0,D:\bennett\computer vision\lab2\data\clean\077.png,D:\bennett\computer vision\lab2\data\gaussian_blur\077.png,D:\bennett\computer vision\lab2\data\salt_pepper\077.png,D:\bennett\computer vision\lab2\data\speckle\077.png
78,9070,9,D:\bennett\computer vision\lab2\data\clean\078.png,D:\bennett\computer vision\lab2\data\gaussian_blur\078.png,D:\bennett\computer vision\lab2\data\salt_pepper\078.png,D:\bennett\computer vision\lab2\data\speckle\078.png
79,9090,6,D:\bennett\computer vision\lab2\data\clean\079.png,D:\bennett\computer vision\lab2\data\gaussian_blur\079.png,D:\bennett\computer vision\lab2\data\salt_pepper\079.png,D:\bennett\computer vision\lab2\data\speckle\079.png
80,9180,3,D:\bennett\computer vision\lab2\data\clean\080.png,D:\bennett\computer vision\lab2\data\gaussian_blur\080.png,D:\bennett\computer vision\lab2\data\salt_pepper\080.png,D:\bennett\computer vision\lab2\data\speckle\080.png
81,9189,4,D:\bennett\computer vision\lab2\data\clean\081.png,D:\bennett\computer vision\lab2\data\gaussian_blur\081.png,D:\bennett\computer vision\lab2\data\salt_pepper\081.png,D:\bennett\computer vision\lab2\data\speckle\081.png
82,9574,6,D:\bennett\computer vision\lab2\data\clean\082.png,D:\bennett\computer vision\lab2\data\gaussian_blur\082.png,D:\bennett\computer vision\lab2\data\salt_pepper\082.png,D:\bennett\computer vision\lab2\data\speckle\082.png
83,9624,3,D:\bennett\computer vision\lab2\data\clean\083.png,D:\bennett\computer vision\lab2\data\gaussian_blur\083.png,D:\bennett\computer vision\lab2\data\salt_pepper\083.png,D:\bennett\computer vision\lab2\data\speckle\083.png
84,9626,4,D:\bennett\computer vision\lab2\data\clean\084.png,D:\bennett\computer vision\lab2\data\gaussian_blur\084.png,D:\bennett\computer vision\lab2\data\salt_pepper\084.png,D:\bennett\computer vision\lab2\data\speckle\084.png
85,9837,1,D:\bennett\computer vision\lab2\data\clean\085.png,D:\bennett\computer vision\lab2\data\gaussian_blur\085.png,D:\bennett\computer vision\lab2\data\salt_pepper\085.png,D:\bennett\computer vision\lab2\data\speckle\085.png
86,9851,3,D:\bennett\computer vision\lab2\data\clean\086.png,D:\bennett\computer vision\lab2\data\gaussian_blur\086.png,D:\bennett\computer vision\lab2\data\salt_pepper\086.png,D:\bennett\computer vision\lab2\data\speckle\086.png
87,9920,4,D:\bennett\computer vision\lab2\data\clean\087.png,D:\bennett\computer vision\lab2\data\gaussian_blur\087.png,D:\bennett\computer vision\lab2\data\salt_pepper\087.png,D:\bennett\computer vision\lab2\data\speckle\087.png
88,9952,8,D:\bennett\computer vision\lab2\data\clean\088.png,D:\bennett\computer vision\lab2\data\gaussian_blur\088.png,D:\bennett\computer vision\lab2\data\salt_pepper\088.png,D:\bennett\computer vision\lab2\data\speckle\088.png
89,9962,2,D:\bennett\computer vision\lab2\data\clean\089.png,D:\bennett\computer vision\lab2\data\gaussian_blur\089.png,D:\bennett\computer vision\lab2\data\salt_pepper\089.png,D:\bennett\computer vision\lab2\data\speckle\089.png
90,10194,2,D:\bennett\computer vision\lab2\data\clean\090.png,D:\bennett\computer vision\lab2\data\gaussian_blur\090.png,D:\bennett\computer vision\lab2\data\salt_pepper\090.png,D:\bennett\computer vision\lab2\data\speckle\090.png
91,10441,5,D:\bennett\computer vision\lab2\data\clean\091.png,D:\bennett\computer vision\lab2\data\gaussian_blur\091.png,D:\bennett\computer vision\lab2\data\salt_pepper\091.png,D:\bennett\computer vision\lab2\data\speckle\091.png
92,10468,1,D:\bennett\computer vision\lab2\data\clean\092.png,D:\bennett\computer vision\lab2\data\gaussian_blur\092.png,D:\bennett\computer vision\lab2\data\salt_pepper\092.png,D:\bennett\computer vision\lab2\data\speckle\092.png
93,10558,4,D:\bennett\computer vision\lab2\data\clean\093.png,D:\bennett\computer vision\lab2\data\gaussian_blur\093.png,D:\bennett\computer vision\lab2\data\salt_pepper\093.png,D:\bennett\computer vision\lab2\data\speckle\093.png
94,10722,9,D:\bennett\computer vision\lab2\data\clean\094.png,D:\bennett\computer vision\lab2\data\gaussian_blur\094.png,D:\bennett\computer vision\lab2\data\salt_pepper\094.png,D:\bennett\computer vision\lab2\data\speckle\094.png
95,10736,4,D:\bennett\computer vision\lab2\data\clean\095.png,D:\bennett\computer vision\lab2\data\gaussian_blur\095.png,D:\bennett\computer vision\lab2\data\salt_pepper\095.png,D:\bennett\computer vision\lab2\data\speckle\095.png
96,10814,5,D:\bennett\computer vision\lab2\data\clean\096.png,D:\bennett\computer vision\lab2\data\gaussian_blur\096.png,D:\bennett\computer vision\lab2\data\salt_pepper\096.png,D:\bennett\computer vision\lab2\data\speckle\096.png
97,10865,3,D:\bennett\computer vision\lab2\data\clean\097.png,D:\bennett\computer vision\lab2\data\gaussian_blur\097.png,D:\bennett\computer vision\lab2\data\salt_pepper\097.png,D:\bennett\computer vision\lab2\data\speckle\097.png
98,10882,3,D:\bennett\computer vision\lab2\data\clean\098.png,D:\bennett\computer vision\lab2\data\gaussian_blur\098.png,D:\bennett\computer vision\lab2\data\salt_pepper\098.png,D:\bennett\computer vision\lab2\data\speckle\098.png
99,11247,7,D:\bennett\computer vision\lab2\data\clean\099.png,D:\bennett\computer vision\lab2\data\gaussian_blur\099.png,D:\bennett\computer vision\lab2\data\salt_pepper\099.png,D:\bennett\computer vision\lab2\data\speckle\099.png
100,11287,1,D:\bennett\computer vision\lab2\data\clean\100.png,D:\bennett\computer vision\lab2\data\gaussian_blur\100.png,D:\bennett\computer vision\lab2\data\salt_pepper\100.png,D:\bennett\computer vision\lab2\data\speckle\100.png
101,11591,7,D:\bennett\computer vision\lab2\data\clean\101.png,D:\bennett\computer vision\lab2\data\gaussian_blur\101.png,D:\bennett\computer vision\lab2\data\salt_pepper\101.png,D:\bennett\computer vision\lab2\data\speckle\101.png
102,11766,7,D:\bennett\computer vision\lab2\data\clean\102.png,D:\bennett\computer vision\lab2\data\gaussian_blur\102.png,D:\bennett\computer vision\lab2\data\salt_pepper\102.png,D:\bennett\computer vision\lab2\data\speckle\102.png
103,11914,0,D:\bennett\computer vision\lab2\data\clean\103.png,D:\bennett\computer vision\lab2\data\gaussian_blur\103.png,D:\bennett\computer vision\lab2\data\salt_pepper\103.png,D:\bennett\computer vision\lab2\data\speckle\103.png
104,11971,2,D:\bennett\computer vision\lab2\data\clean\104.png,D:\bennett\computer vision\lab2\data\gaussian_blur\104.png,D:\bennett\computer vision\lab2\data\salt_pepper\104.png,D:\bennett\computer vision\lab2\data\speckle\104.png
105,11989,8,D:\bennett\computer vision\lab2\data\clean\105.png,D:\bennett\computer vision\lab2\data\gaussian_blur\105.png,D:\bennett\computer vision\lab2\data\salt_pepper\105.png,D:\bennett\computer vision\lab2\data\speckle\105.png
106,12085,8,D:\bennett\computer vision\lab2\data\clean\106.png,D:\bennett\computer vision\lab2\data\gaussian_blur\106.png,D:\bennett\computer vision\lab2\data\salt_pepper\106.png,D:\bennett\computer vision\lab2\data\speckle\106.png
107,12131,9,D:\bennett\computer vision\lab2\data\clean\107.png,D:\bennett\computer vision\lab2\data\gaussian_blur\107.png,D:\bennett\computer vision\lab2\data\salt_pepper\107.png,D:\bennett\computer vision\lab2\data\speckle\107.png
108,12798,1,D:\bennett\computer vision\lab2\data\clean\108.png,D:\bennett\computer vision\lab2\data\gaussian_blur\108.png,D:\bennett\computer vision\lab2\data\salt_pepper\108.png,D:\bennett\computer vision\lab2\data\speckle\108.png
109,13374,2,D:\bennett\computer vision\lab2\data\clean\109.png,D:\bennett\computer vision\lab2\data\gaussian_blur\109.png,D:\bennett\computer vision\lab2\data\salt_pepper\109.png,D:\bennett\computer vision\lab2\data\speckle\109.png
110,13518,8,D:\bennett\computer vision\lab2\data\clean\110.png,D:\bennett\computer vision\lab2\data\gaussian_blur\110.png,D:\bennett\computer vision\lab2\data\salt_pepper\110.png,D:\bennett\computer vision\lab2\data\speckle\110.png
111,13527,2,D:\bennett\computer vision\lab2\data\clean\111.png,D:\bennett\computer vision\lab2\data\gaussian_blur\111.png,D:\bennett\computer vision\lab2\data\salt_pepper\111.png,D:\bennett\computer vision\lab2\data\speckle\111.png
112,13759,6,D:\bennett\computer vision\lab2\data\clean\112.png,D:\bennett\computer vision\lab2\data\gaussian_blur\112.png,D:\bennett\computer vision\lab2\data\salt_pepper\112.png,D:\bennett\computer vision\lab2\data\speckle\112.png
113,13772,6,D:\bennett\computer vision\lab2\data\clean\113.png,D:\bennett\computer vision\lab2\data\gaussian_blur\113.png,D:\bennett\computer vision\lab2\data\salt_pepper\113.png,D:\bennett\computer vision\lab2\data\speckle\113.png
114,13954,8,D:\bennett\computer vision\lab2\data\clean\114.png,D:\bennett\computer vision\lab2\data\gaussian_blur\114.png,D:\bennett\computer vision\lab2\data\salt_pepper\114.png,D:\bennett\computer vision\lab2\data\speckle\114.png
115,13955,0,D:\bennett\computer vision\lab2\data\clean\115.png,D:\bennett\computer vision\lab2\data\gaussian_blur\115.png,D:\bennett\computer vision\lab2\data\salt_pepper\115.png,D:\bennett\computer vision\lab2\data\speckle\115.png
116,14146,9,D:\bennett\computer vision\lab2\data\clean\116.png,D:\bennett\computer vision\lab2\data\gaussian_blur\116.png,D:\bennett\computer vision\lab2\data\salt_pepper\116.png,D:\bennett\computer vision\lab2\data\speckle\116.png
117,14251,5,D:\bennett\computer vision\lab2\data\clean\117.png,D:\bennett\computer vision\lab2\data\gaussian_blur\117.png,D:\bennett\computer vision\lab2\data\salt_pepper\117.png,D:\bennett\computer vision\lab2\data\speckle\117.png
